Mod Loading Profiling Results:
   Constructing
      ae2stuff: 1ms
      theoneprobe: 1ms
      loliasm: 1ms
      skyresources: 1ms
   Total Time
      astralsorcery: 4954ms
      enderio: 4196ms
      quark: 3347ms
      immersiveengineering: 3196ms
      crafttweaker: 2704ms
      pyrotech: 2010ms
      appliedenergistics2: 1715ms
      FML: 1502ms
      journeymap: 1263ms
      mekanism: 1183ms
      nuclearcraft: 1169ms
      forgelin: 1134ms
      teslacorelib: 788ms
      deepmoblearning: 787ms
      mysticallib: 761ms
      industrialforegoing: 703ms
      enderiomachines: 657ms
      vanillafoodpantry: 652ms
      jei: 641ms
      ae2stuff: 630ms
      roots: 625ms
      naturesaura: 611ms
      codechickenlib: 595ms
      itlt: 556ms
      arcanearchives: 530ms
      actuallyadditions: 514ms
      tombstone: 501ms
      magneticraft: 499ms
      contenttweaker: 488ms
      tetra: 486ms
      rustic: 480ms
      unidict: 474ms
      patchouli: 461ms
      inventorytweaks: 439ms
      skyresources: 385ms
      headcrumbs: 376ms
      ftblib: 367ms
      ftbquests: 359ms
      scavenge: 345ms
      inspirations: 343ms
      cookingforblockheads: 324ms
      chiselsandbits: 324ms
      bonsaitrees: 309ms
      artisanworktables: 307ms
      xnet: 305ms
      mysticalworld: 290ms
      endercore: 273ms
      hwell: 272ms
      chisel: 252ms
      alchemistry: 246ms
      darkutils: 246ms
      ftbutilities: 234ms
      mechanics: 232ms
      bdlib: 219ms
      buildinggadgets: 207ms
      enderioconduits: 196ms
      cofhcore: 195ms
      storagedrawers: 181ms
      pickletweaks: 180ms
      base: 178ms
      forge: 173ms
      architecturecraft: 173ms
      dropt: 170ms
      rsgauges: 163ms
      enderioinvpanel: 152ms
      ctm: 150ms
      llibrary: 144ms
      smoothfont: 134ms
      theoneprobe: 132ms
      universaltweaks: 130ms
      enderiopowertools: 127ms
      hearthstones: 121ms
      foamfix: 116ms
      carryon: 115ms
      mpbasic: 111ms
      solcarrot: 103ms
      mputils: 102ms
      reactorbuilder: 101ms
      gamestages: 100ms
      openglider: 94ms
      integrationforegoing: 91ms
      gbook_snapshot: 85ms
      blockdrops: 81ms
      mcjtylib_ng: 80ms
      custommainmenu: 79ms
      topography: 74ms
      akashictome: 71ms
      sledgehammer: 71ms
      waterstrainer: 69ms
      craftingtweaks: 69ms
      classicbar: 68ms
      placebo: 64ms
      mantle: 64ms
      discordcraft: 62ms
      essentials: 61ms
      reauth: 61ms
      forbidden_arcanus: 60ms
      randompatches: 58ms
      vaultopic: 57ms
      baubles: 56ms
      oreexcavation: 56ms
      xencraft: 52ms
      betterbuilderswands: 52ms
      vanillasatchels: 51ms
      jeresources: 50ms
      mousetweaks: 45ms
      itemfilters: 45ms
      loottweaker: 44ms
      supersoundmuffler: 43ms
      moreoverlays: 43ms
      enderioconduitsappliedenergistics: 39ms
      autoreglib: 38ms
      wanionlib: 37ms
      immersivecables: 36ms
      netherchest: 35ms
      extraanvils: 34ms
      pillar: 34ms
      telepastries: 33ms
      elevatorid: 32ms
      bookshelf: 31ms
      betteradvancements: 30ms
      craftingstation: 30ms
      cucumber: 28ms
      appleskin: 28ms
      inworldcrafting: 28ms
      simple_trophies: 27ms
      kleeslabs: 25ms
      worldstripper: 25ms
      defaultoptions: 24ms
      waddles: 24ms
      applecore: 23ms
      stonechest: 23ms
      modelloader: 20ms
      athenaeum: 19ms
      controlling: 18ms
      enderiointegrationforestry: 17ms
      teslacorelib_registries: 17ms
      speedyhoppers: 17ms
      enderiointegrationtic: 16ms
      morpheus: 16ms
      enderioendergy: 15ms
      crafttweakerjei: 14ms
      ctgui: 13ms
      recipestages: 13ms
      ftbbackups: 13ms
      loliasm: 12ms
      bnbgaminglib: 12ms
      endertweaker: 12ms
      morecharcoal: 12ms
      jeiintegration: 11ms
      chameleon: 10ms
      modnametooltip: 10ms
      alib: 8ms
      redstoneflux: 7ms
      naturestopography: 7ms
      jee: 7ms
      initialinventory: 7ms
      enderiointegrationticlate: 7ms
      tipthescales: 7ms
      gunpowderlib: 6ms
      enderioconduitsopencomputers: 6ms
      glacialawakeningtweaks: 6ms
      speedyladders: 6ms
      enderioconduitsrefinedstorage: 5ms
      resourceloader: 5ms
      ding: 5ms
      enderiobase: 4ms
      rebind_narrator: 3ms
      modtweaker: 3ms
      pipeblocker: 2ms
      loadingprofiler: 2ms
      jetif: 2ms
      mtlib: 1ms
